  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  6.6000e-13          100.65335634     55952001.33696831        2295.06227904                  -nan                  -nan 
  6.6500e-13          100.64095823            0.00000000        2294.77958165                  -nan                  -nan 
  6.7000e-13          100.63944682            0.00000000        2294.74511908                  -nan                  -nan 
  6.7500e-13          100.64844831    184333714.88951510        2294.95036799                  -nan                  -nan 
  6.8000e-13          100.67252935     54293960.88431127        2295.49945517                  -nan                  -nan 
  6.8500e-13          100.70772319            0.00000000        2296.30193266                  -nan                  -nan 
  6.9000e-13          100.75021744    138303134.85529304        2297.27087154                  -nan                  -nan 
  6.9500e-13          100.80102808            0.00000000        2298.42943787                  -nan                  -nan 
  7.0000e-13          100.85562072            0.00000000        2299.67424003                  -nan                  -nan 
  7.0500e-13          100.91232226            0.00000000        2300.96712839                  -nan                  -nan 
  7.1000e-13          100.96940922     93534525.90596628        2302.26880509                  -nan                  -nan 
  7.1500e-13          101.02759652     44072793.52679916        2303.59557150                  -nan                  -nan 
  7.2000e-13          101.08391338    136421853.71470761        2304.87968870                  -nan                  -nan 
  7.2500e-13          101.13807978            0.00000000        2306.11477175                  -nan                  -nan 
  7.3000e-13          101.18517317            0.00000000        2307.18857854                  -nan                  -nan 
  7.3500e-13          101.22338099    146989078.74298987        2308.05977976                  -nan                  -nan 
  7.4000e-13          101.25333019            0.00000000        2308.74267088                  -nan                  -nan 
  7.4500e-13          101.27058257            0.00000000        2309.13605347                  -nan                  -nan 
  7.5000e-13          101.27339646     52543282.45657424        2309.20021476                  -nan                  -nan 
  7.5500e-13          101.26078631     50478875.56357418        2308.91268274                  -nan                  -nan 
  7.6000e-13          101.23304464    114192522.87103927        2308.28012701                  -nan                  -nan 
  7.6500e-13          101.18987232    184462270.03999460        2307.29572687                  -nan                  -nan 
  7.7000e-13          101.13258705     57767040.79904337        2305.98952838                  -nan                  -nan 
  7.7500e-13          101.05589851    172816247.22602352        2304.24090342                  -nan                  -nan 
  7.8000e-13          100.95946799    199581971.05128345        2302.04212876                  -nan                  -nan 
  7.8500e-13          100.84482290            0.00000000        2299.42803193                  -nan                  -nan 
  7.9000e-13          100.70813257            0.00000000        2296.31126733                  -nan                  -nan 
  7.9500e-13          100.55048554     82852587.33577287        2292.71665534                  -nan                  -nan 
  8.0000e-13          100.37641283     64663370.56569895        2288.74751090                  -nan                  -nan 
  8.0500e-13          100.18676613     62818096.02548306        2284.42325393                  -nan                  -nan 
  8.1000e-13           99.98466180     40673745.13708078        2279.81494242                  -nan                  -nan 
